stu_ID,stu_FirstName,stu_LastName,stu_Campus,stu_Email
210000000,Jonnt,Bronnt,3,Jonnt.Bronnt@deakin.edu.au
210000001,Flangle,Dangle,3,Flangle.Dangle@deakin.edu.au
210000002,Bimple,Durple,3,Bimple.Durple@deakin.edu.au
210000003,Durple,Bimple,3,Durple.Bimple@deakin.edu.au
210000004,Hanner,Sander,3,Hanner.Sander@deakin.edu.au
210000005,Myteef,R gone,3,Myteef.R gone@deakin.edu.au
210000006,Saad,Maan,3,Saad.Maan@deakin.edu.au
210000007,Abby,babby,2,Abby.babby@deakin.edu.au
210000008,Burgle,McDurgle,2,Burgle.McDurgle@deakin.edu.au
210000009,Durgle,McFurgle,2,Durgle.McFurgle@deakin.edu.au
210000010,Dunnow,MacBubble,2,Dunnow.MacBubble@deakin.edu.au
210000011,Gery,Sprunker,2,Gery.Sprunker@deakin.edu.au
210000012,Sargon,Akkad,3,Sargon.Akkad@deakin.edu.au
210000013,suyrgle,McBurgle,3,suyrgle.McBurgle@deakin.edu.au
210000014,Xanny,Flypper,3,Xanny.Flypper@deakin.edu.au
210000015,Dun,SumWork,2,Dun.SumWork@deakin.edu.au
210000016,Nat,Busy,2,Nat.Busy@deakin.edu.au
210000017,Wanna,Sleep,2,Wanna.Sleep@deakin.edu.au
210000018,Steve,McQuees,1,Steve.McQuees@deakin.edu.au
210000019,Hulk,Hogan,1,Hulk.Hogan@deakin.edu.au
210000020,John,Cena,1,John.Cena@deakin.edu.au
210000021,The,Undertaker,1,The.Undertaker@deakin.edu.au
210000022,Dwayne,Johnson,2,Dwayne.Johnson@deakin.edu.au
210000023,Triple,H,2,Triple.H@deakin.edu.au
210000024,Kane,Kane,2,Kane.Kane@deakin.edu.au
210000025,Randy,Orton,3,Randy.Orton@deakin.edu.au
210000026,Chris,benoit,3,Chris.benoit@deakin.edu.au
210000027,Brock,Lesnar,3,Brock.Lesnar@deakin.edu.au
210000028,Mick,Foley,3,Mick.Foley@deakin.edu.au
210000029,Eddie,Guerrero,2,Eddie.Guerrero@deakin.edu.au
210000030,A.J.,Styles,2,A.J..Styles@deakin.edu.au
210000031,Edge,Edge,2,Edge.Edge@deakin.edu.au
210000032,Kurt,Angle,2,Kurt.Angle@deakin.edu.au
210000033,Ric,Flair,2,Ric.Flair@deakin.edu.au
210000034,C.M.,Punk,3,C.M..Punk@deakin.edu.au
210000035,Chris,Jericho,2,Chris.Jericho@deakin.edu.au
210000036,Daniel,Bryan,3,Daniel.Bryan@deakin.edu.au
210000037,Steve,Austin,3,Steve.Austin@deakin.edu.au
210000038,Shawn,Michaels,3,Shawn.Michaels@deakin.edu.au
